Conference,Year,Name,Institution,Countries
asplos,2021,Samira Khan,University of Virginia,United States
asplos,2021,Michael Taylor,University of Washington,United States
asplos,2021,Zachary Tatlock,University of Washington,United States
asplos,2021,Karu Sankaralingam,University of Wisconsin,United States
asplos,2021,Michael Swift,"University of Wisconsin, Madison",United States
asplos,2021,Dimitrios Nikolopoulos,Virginia Tech,United States
asplos,2021,Abhishek Bhattacharjee,Yale University,United States
asplos,2021,Jakub Szefer,Yale University,United States
asplos,2022,Shoaib Kamil,Adobe,United States
asplos,2022,Ali Saidi,Amazon,United States
asplos,2022,Johnathan Alsop,AMD Research,United States
asplos,2022,Jose Joao,Arm Research,United Kingdom
asplos,2022,Matt Horsnell,Arm Research,United Kingdom
asplos,2022,Dmitry Ponomarev,Binghamton University,United States
asplos,2022,Phillip Stanley-Marbell,Cambridge,United Kingdom
asplos,2022,Jason Nieh,Columbia University,United States
asplos,2022,Junfeng Yang,Columbia University,United States
asplos,2022,Adrian Sampson,Cornell University,United States
asplos,2022,Christina Delimitrou,Cornell University,United States
asplos,2022,Lisa Wu Wills,Duke University,United States
asplos,2022,Edouard Bugnion,EPFL,Switzerland
asplos,2022,Manuel Rigger,ETH Zurich,Switzerland
asplos,2022,Onur Mutlu,ETH Zurich,Switzerland
asplos,2022,David Meisner,Facebook,United States
asplos,2022,Peng Wu,Facebook,United States
asplos,2022,Ada Gavrilovska,Georgia Tech,United States
asplos,2022,Hyesoon Kim,Georgia Tech,United States
asplos,2022,Lieven Eeckhout,Ghent,Belgium
asplos,2022,Akanksha Jain,Google,United States
asplos,2022,Michael Marty,Google,United States
asplos,2022,Swapnil Haria,Google,United States
asplos,2022,Xuanhua Shi,Huazhong University of Science and Technology,China
asplos,2022,Yu Hua,Huazhong University of Science and Technology,China
asplos,2022,Ali Javadi-Abhari,IBM,United States
asplos,2022,Yungang Bao,"ICT, CAS",China
asplos,2022,Sreenivas Subramoney,Intel Labs,United States
asplos,2022,Ryan Huang,Johns Hopkins University,United States
asplos,2022,John Kim,KAIST,"Korea, Republic of"
asplos,2022,Dejan Kostić,KTH Royal Institute of Technology,Sweden
asplos,2022,Tim Harris,Microsoft,United States
asplos,2022,Madan Musuvathi,Microsoft Research,United States
asplos,2022,Fan Yang,Microsoft Research Asia,United States
asplos,2022,Daniel Sanchez,MIT,United States
asplos,2022,Martin Rinard,MIT,United States
asplos,2022,Mengjia Yan,MIT,United States
asplos,2022,Antoine Kaufmann,MPI-SWS,Germany
asplos,2022,Trevor E. Carlson,National University of Singapore,Singapore
asplos,2022,Xu Liu,North Carolina State University,United States
asplos,2022,Xipeng Shen,North Carolina State University and Facebook,United States
asplos,2022,Josiah Hester,Northwestern University,United States
asplos,2022,David Nellans,NVIDIA,United States
asplos,2022,Michael Bond,Ohio State University,United States
asplos,2022,Linhai Song,Pennsylvania State University,United States
asplos,2022,Changhee Jung,Purdue University,United States
asplos,2022,Santosh Nagarakatte,Rutgers University,United States
asplos,2022,Zheng (Eddy) Zhang,Rutgers University,United States
asplos,2022,Jangwoo Kim,Seoul National University,"Korea, Republic of"
asplos,2022,Jung Ho Ahn,Seoul National University,"Korea, Republic of"
asplos,2022,Haibo Chen,Shanghai Jiao Tong University,China
asplos,2022,Caroline Trippel,Stanford University,United States
asplos,2022,Dongyoon Lee,Stony Brook University,United States
asplos,2022,Mark Silberstein,Technion,Israel
asplos,2022,Dan Tsafrir,Technion & VMware Research,Israel
